time,station_id,name,latitude,longitude,aqi,pm25,pm10,co,co2,no2,o3,so2,dust,uv,temp,hum
2026-07-21T19:00:00Z,srinagar,Srinagar,34.0837,74.7973,58,20,21,593,462,31.2,21,3.8,2,0,19.4,97
2026-07-21T19:00:00Z,anantnag,Anantnag,33.7311,75.1487,31,8.6,8.7,394,465,14.4,53,1.1,0,0,18.2,100
2026-07-21T19:00:00Z,baramulla,Baramulla,34.198,74.3636,27,10.4,11.1,448,498,17.6,41,1.8,1,0,19.7,90
2026-07-21T19:00:00Z,budgam,Budgam,33.9299,74.7857,58,20,21,496,470,31.2,21,3.8,2,0,18.9,92
2026-07-21T19:00:00Z,bandipora,Bandipora,34.4177,74.6431,51,17.3,18.9,434,478,23,46,4.5,3,0,18.9,96
2026-07-21T19:00:00Z,ganderbal,Ganderbal,34.2265,74.7748,51,17.3,18.9,541,465,23,46,4.5,3,0,19.4,98
2026-07-21T19:00:00Z,kulgam,Kulgam,33.6444,75.0192,31,8.6,8.7,367,469,14.4,53,1.1,0,0,18.5,98
2026-07-21T19:00:00Z,kupwara,Kupwara,34.5262,74.2546,48,23.1,25.1,493,551,32.9,31,4.4,3,0,18.9,89
2026-07-21T19:00:00Z,pulwama,Pulwama,33.8716,74.8988,58,20,21,543,470,31.2,21,3.8,2,0,18.2,96
2026-07-21T19:00:00Z,shopian,Shopian,33.7167,74.8333,31,3.3,3.4,359,470,8.5,65,0.4,0,0,16.6,99
2026-07-21T19:00:00Z,sopore,Sopore,34.287,74.467,48,23.1,25.1,406,465,32.9,31,4.4,3,0,19.4,90
2026-07-21T19:00:00Z,handwara,Handwara,34.4,74.28,48,23.1,25.1,472,496,32.9,31,4.4,3,0,19,87
2026-07-21T19:00:00Z,gulmarg,Gulmarg,34.0484,74.3805,27,10.4,11.1,244,462,17.6,41,1.8,1,0,13.1,100
2026-07-21T19:00:00Z,pahalgam,Pahalgam,34.0159,75.3151,46,20.4,21.1,464,550,26.2,6,1.5,1,0,16,99
2026-07-21T19:00:00Z,sonamarg,Sonamarg,34.305,75.293,27,0.9,0.9,192,474,5.7,28,0.1,0,0,14.6,88
2026-07-21T19:00:00Z,yusmarg,Yusmarg,33.83,74.66,58,20,21,331,508,31.2,21,3.8,2,0,15.1,97
2026-07-21T19:00:00Z,tangmarg,Tangmarg,34.045,74.429,27,10.4,11.1,244,462,17.6,41,1.8,1,0,16.3,99
2026-07-21T19:00:00Z,uri,Uri,34.079,74.05,31,4.1,4.4,313,553,16,50,1,1,0,21.6,97
