time,station_id,name,latitude,longitude,aqi,pm25,pm10,co,co2,no2,o3,so2,dust,uv,temp,hum
2026-07-04T19:00:00Z,srinagar,Srinagar,34.0837,74.7973,82,42.4,48.9,921,536,36.2,36,3,15,0,22.2,75
2026-07-04T19:00:00Z,anantnag,Anantnag,33.7311,75.1487,73,53,56.2,439,496,40,34,0.3,8,0,20.6,74
2026-07-04T19:00:00Z,baramulla,Baramulla,34.198,74.3636,70,34.5,42.7,351,555,14.4,53,2.6,19,0,19.9,76
2026-07-04T19:00:00Z,budgam,Budgam,33.9299,74.7857,82,42.4,48.9,379,487,36.2,36,3,15,0,19.2,81
2026-07-04T19:00:00Z,bandipora,Bandipora,34.4177,74.6431,73,23.3,31.9,226,504,20.4,88,5.3,21,0,21.2,56
2026-07-04T19:00:00Z,ganderbal,Ganderbal,34.2265,74.7748,73,23.3,31.9,315,498,20.4,88,5.3,21,0,22.8,58
2026-07-04T19:00:00Z,kulgam,Kulgam,33.6444,75.0192,73,53,56.2,174,467,40,34,0.3,8,0,20.8,53
2026-07-04T19:00:00Z,kupwara,Kupwara,34.5262,74.2546,73,30.2,39.6,231,534,16.2,76,3.7,22,0,19.2,71
2026-07-04T19:00:00Z,pulwama,Pulwama,33.8716,74.8988,82,42.4,48.9,394,486,36.2,36,3,15,0,17.3,85
2026-07-04T19:00:00Z,shopian,Shopian,33.7167,74.8333,61,25.7,28.3,209,464,20.5,27,0.7,6,0,18.5,57
2026-07-04T19:00:00Z,sopore,Sopore,34.287,74.467,73,30.2,39.6,423,541,16.2,76,3.7,22,0,20.1,78
2026-07-04T19:00:00Z,handwara,Handwara,34.4,74.28,73,30.2,39.6,259,541,16.2,76,3.7,22,0,19.5,69
2026-07-04T19:00:00Z,gulmarg,Gulmarg,34.0484,74.3805,70,34.5,42.7,190,463,14.4,53,2.6,19,0,12.6,85
2026-07-04T19:00:00Z,pahalgam,Pahalgam,34.0159,75.3151,71,30.3,33.8,316,508,21.6,42,2.1,9,0,17.4,67
2026-07-04T19:00:00Z,sonamarg,Sonamarg,34.305,75.293,66,15,18.2,217,464,5.1,54,0.4,8,0,11.7,94
2026-07-04T19:00:00Z,yusmarg,Yusmarg,33.83,74.66,82,42.4,48.9,221,472,36.2,36,3,15,0,16.5,67
2026-07-04T19:00:00Z,tangmarg,Tangmarg,34.045,74.429,70,34.5,42.7,190,463,14.4,53,2.6,19,0,17.5,67
2026-07-04T19:00:00Z,uri,Uri,34.079,74.05,100,41.6,56,369,582,11.7,123,6.6,33,0,21.4,94
2026-07-04T19:00:00Z,awantipora,Awantipora,33.92,75.01,71,30.3,33.8,354,490,21.6,42,2.1,9,0,22.5,63
2026-07-04T19:00:00Z,bijbehara,Bijbehara,33.793,75.105,73,53,56.2,448,523,40,34,0.3,8,0,20.3,75
2026-07-04T19:00:00Z,qazigund,Qazigund,33.64,75.15,73,53,56.2,282,497,40,34,0.3,8,0,20.4,73
2026-07-04T19:00:00Z,verinag,Verinag,33.55,75.254,73,53,56.2,280,510,40,34,0.3,8,0,17.6,77
2026-07-04T19:00:00Z,kokernag,Kokernag,33.59,75.32,73,53,56.2,280,510,40,34,0.3,8,0,17.2,77
2026-07-04T19:00:00Z,tral,Tral,33.935,75.11,71,30.3,33.8,353,505,21.6,42,2.1,9,0,22.3,56
2026-07-04T19:00:00Z,beerwah,Beerwah,33.995,74.71,82,42.4,48.9,239,475,36.2,36,3,15,0,20.2,61
2026-07-04T19:00:00Z,banihal,Banihal,33.438,75.197,73,53,56.2,255,514,40,34,0.3,8,0,18.1,99
2026-07-04T19:00:00Z,gurez,Gurez (Dawar),34.63,74.83,70,11,17.2,164,471,7.8,95,1.6,16,0,14.6,80
2026-07-04T19:00:00Z,tangdhar,Tangdhar,34.69,74.08,63,22.4,26.5,175,526,18.2,47,0.2,12,0,10.4,68
2026-07-04T20:00:00Z,srinagar,Srinagar,34.0837,74.7973,82,43.3,49.6,750,538,35,28,2.7,15,0,21.1,81
2026-07-04T20:00:00Z,anantnag,Anantnag,33.7311,75.1487,74,53.6,56.5,389,497,37.6,21,0.2,7,0,20,78
2026-07-04T20:00:00Z,baramulla,Baramulla,34.198,74.3636,70,37.8,46.9,307,553,13.4,59,2.6,21,0,19,79
2026-07-04T20:00:00Z,budgam,Budgam,33.9299,74.7857,82,43.3,49.6,361,493,35,28,2.7,15,0,18.9,82
2026-07-04T20:00:00Z,bandipora,Bandipora,34.4177,74.6431,68,24.2,32.4,205,504,21.1,74,4.9,19,0,20.7,57
2026-07-04T20:00:00Z,ganderbal,Ganderbal,34.2265,74.7748,68,24.2,32.4,289,508,21.1,74,4.9,19,0,21.5,61
2026-07-04T20:00:00Z,kulgam,Kulgam,33.6444,75.0192,74,53.6,56.5,169,470,37.6,21,0.2,7,0,20.6,52
2026-07-04T20:00:00Z,kupwara,Kupwara,34.5262,74.2546,74,33.2,42.5,215,537,16.8,69,3.2,22,0,18.4,74
