time,station_id,name,latitude,longitude,aqi,pm25,pm10,co,co2,no2,o3,so2,dust,uv,temp,hum
2026-06-16T19:00:00Z,srinagar,Srinagar,34.0837,74.7973,90,35.9,41.3,963,508,28.6,24,0.1,11,0,,
2026-06-16T19:00:00Z,anantnag,Anantnag,33.7311,75.1487,78,20.7,23.2,519,479,26.8,11,0.1,7,0,,
2026-06-16T19:00:00Z,baramulla,Baramulla,34.198,74.3636,83,27.5,33.4,296,513,13.2,40,0.1,14,0,,
2026-06-16T19:00:00Z,budgam,Budgam,33.9299,74.7857,90,35.9,41.3,356,479,28.6,24,0.1,11,0,,
2026-06-16T19:00:00Z,bandipora,Bandipora,34.4177,74.6431,85,26.6,35,260,480,20.4,33,0,19,0,,
2026-06-16T19:00:00Z,ganderbal,Ganderbal,34.2265,74.7748,85,26.6,35,363,484,20.4,33,0,19,0,,
2026-06-16T19:00:00Z,kulgam,Kulgam,33.6444,75.0192,78,20.7,23.2,196,459,26.8,11,0.1,7,0,,
2026-06-16T19:00:00Z,kupwara,Kupwara,34.5262,74.2546,87,33.8,45.6,276,509,14,69,0.4,27,0,,
2026-06-16T19:00:00Z,pulwama,Pulwama,33.8716,74.8988,90,35.9,41.3,384,475,28.6,24,0.1,11,0,,
2026-06-16T19:00:00Z,shopian,Shopian,33.7167,74.8333,67,22,24.3,241,460,21,19,0,5,0,,
2026-06-16T19:00:00Z,sopore,Sopore,34.287,74.467,87,33.8,45.6,517,518,14,69,0.4,27,0,,
2026-06-16T19:00:00Z,handwara,Handwara,34.4,74.28,87,33.8,45.6,313,521,14,69,0.4,27,0,,
2026-06-16T19:00:00Z,gulmarg,Gulmarg,34.0484,74.3805,83,27.5,33.4,180,455,13.2,40,0.1,14,0,,
2026-06-16T19:00:00Z,pahalgam,Pahalgam,34.0159,75.3151,74,11.3,13.2,295,485,16.6,21,0.1,9,0,,
2026-06-16T19:00:00Z,sonamarg,Sonamarg,34.305,75.293,54,12.5,18.9,165,444,3.7,37,0,17,0,,
2026-06-16T19:00:00Z,yusmarg,Yusmarg,33.83,74.66,90,35.9,41.3,248,470,28.6,24,0.1,11,0,,
2026-06-16T19:00:00Z,tangmarg,Tangmarg,34.045,74.429,83,27.5,33.4,180,455,13.2,40,0.1,14,0,,
2026-06-16T19:00:00Z,uri,Uri,34.079,74.05,85,21.2,30.6,338,567,9.5,76,0.8,15,0,,
2026-06-16T19:00:00Z,awantipora,Awantipora,33.92,75.01,74,11.3,13.2,325,464,16.6,21,0.1,9,0,,
2026-06-16T19:00:00Z,bijbehara,Bijbehara,33.793,75.105,78,20.7,23.2,472,492,26.8,11,0.1,7,0,,
2026-06-16T19:00:00Z,qazigund,Qazigund,33.64,75.15,78,20.7,23.2,284,488,26.8,11,0.1,7,0,,
2026-06-16T19:00:00Z,verinag,Verinag,33.55,75.254,78,20.7,23.2,214,495,26.8,11,0.1,7,0,,
2026-06-16T19:00:00Z,kokernag,Kokernag,33.59,75.32,78,20.7,23.2,214,495,26.8,11,0.1,7,0,,
2026-06-16T19:00:00Z,tral,Tral,33.935,75.11,74,11.3,13.2,253,477,16.6,21,0.1,9,0,,
2026-06-16T19:00:00Z,beerwah,Beerwah,33.995,74.71,90,35.9,41.3,301,466,28.6,24,0.1,11,0,,
2026-06-16T19:00:00Z,banihal,Banihal,33.438,75.197,78,20.7,23.2,229,498,26.8,11,0.1,7,0,,
2026-06-16T19:00:00Z,gurez,Gurez (Dawar),34.63,74.83,65,27,52.2,178,459,5.3,90,0.1,64,0,,
2026-06-16T19:00:00Z,tangdhar,Tangdhar,34.69,74.08,70,24.4,40.3,195,522,9.6,92,0.1,37,0,,
2026-06-16T20:00:00Z,srinagar,Srinagar,34.0837,74.7973,90,37.5,42.6,773,513,29.7,13,0,11,0,,
2026-06-16T20:00:00Z,anantnag,Anantnag,33.7311,75.1487,77,20,22.3,435,484,23.3,12,0,6,0,,
2026-06-16T20:00:00Z,baramulla,Baramulla,34.198,74.3636,82,29,35.9,255,510,14.8,27,0,15,0,,
2026-06-16T20:00:00Z,budgam,Budgam,33.9299,74.7857,90,37.5,42.6,333,485,29.7,13,0,11,0,,
2026-06-16T20:00:00Z,bandipora,Bandipora,34.4177,74.6431,84,29.3,37,240,479,21.3,25,0,17,0,,
2026-06-16T20:00:00Z,ganderbal,Ganderbal,34.2265,74.7748,84,29.3,37,285,487,21.3,25,0,17,0,,
2026-06-16T20:00:00Z,kulgam,Kulgam,33.6444,75.0192,77,20,22.3,178,460,23.3,12,0,6,0,,
2026-06-16T20:00:00Z,kupwara,Kupwara,34.5262,74.2546,86,36.6,49.6,260,517,15,58,0.1,26,0,,
2026-06-16T20:00:00Z,pulwama,Pulwama,33.8716,74.8988,90,37.5,42.6,364,480,29.7,13,0,11,0,,
2026-06-16T20:00:00Z,shopian,Shopian,33.7167,74.8333,68,23.1,25.3,206,458,20,16,0,5,0,,
2026-06-16T20:00:00Z,sopore,Sopore,34.287,74.467,86,36.6,49.6,441,524,15,58,0.1,26,0,,
2026-06-16T20:00:00Z,handwara,Handwara,34.4,74.28,86,36.6,49.6,278,526,15,58,0.1,26,0,,
2026-06-16T20:00:00Z,gulmarg,Gulmarg,34.0484,74.3805,82,29,35.9,163,454,14.8,27,0,15,0,,
2026-06-16T20:00:00Z,pahalgam,Pahalgam,34.0159,75.3151,72,10.2,12,235,479,14.8,21,0,7,0,,
2026-06-16T20:00:00Z,sonamarg,Sonamarg,34.305,75.293,54,11.7,15.5,145,444,3.4,34,0,12,0,,
2026-06-16T20:00:00Z,yusmarg,Yusmarg,33.83,74.66,90,37.5,42.6,228,468,29.7,13,0,11,0,,
2026-06-16T20:00:00Z,tangmarg,Tangmarg,34.045,74.429,82,29,35.9,163,454,14.8,27,0,15,0,,
2026-06-16T20:00:00Z,uri,Uri,34.079,74.05,85,23.3,33.6,302,568,9.6,70,0.4,16,0,,
2026-06-16T20:00:00Z,awantipora,Awantipora,33.92,75.01,72,10.2,12,320,465,14.8,21,0,7,0,,
2026-06-16T20:00:00Z,bijbehara,Bijbehara,33.793,75.105,77,20,22.3,463,491,23.3,12,0,6,0,,
2026-06-16T20:00:00Z,qazigund,Qazigund,33.64,75.15,77,20,22.3,244,487,23.3,12,0,6,0,,
2026-06-16T20:00:00Z,verinag,Verinag,33.55,75.254,77,20,22.3,184,493,23.3,12,0,6,0,,
2026-06-16T20:00:00Z,kokernag,Kokernag,33.59,75.32,77,20,22.3,184,493,23.3,12,0,6,0,,
2026-06-16T20:00:00Z,tral,Tral,33.935,75.11,72,10.2,12,249,476,14.8,21,0,7,0,,
2026-06-16T20:00:00Z,beerwah,Beerwah,33.995,74.71,90,37.5,42.6,233,467,29.7,13,0,11,0,,
2026-06-16T20:00:00Z,banihal,Banihal,33.438,75.197,77,20,22.3,225,501,23.3,12,0,6,0,,
2026-06-16T20:00:00Z,gurez,Gurez (Dawar),34.63,74.83,66,23.9,45.4,166,455,5.5,88,0.1,56,0,,
2026-06-16T20:00:00Z,tangdhar,Tangdhar,34.69,74.08,70,25.4,39.6,196,521,10,88,0,35,0,,
2026-06-16T21:00:00Z,srinagar,Srinagar,34.0837,74.7973,90,37.4,42.1,607,517,29.4,7,0,11,0,,
