time,station_id,name,latitude,longitude,aqi,pm25,pm10,co,co2,no2,o3,so2,dust,uv,temp,hum
2026-08-11T19:00:00Z,srinagar,Srinagar,34.0837,74.7973,117,80.3,88.7,1353,541,54,10,4.7,20,0,22.5,88
2026-08-11T19:00:00Z,anantnag,Anantnag,33.7311,75.1487,84,34.8,38.3,759,503,17.5,67,2.1,9,0,20.9,95
2026-08-11T19:00:00Z,baramulla,Baramulla,34.198,74.3636,72,41,48.1,449,542,14.3,61,3.3,16,0,21.4,82
2026-08-11T19:00:00Z,budgam,Budgam,33.9299,74.7857,117,80.3,88.7,472,487,54,10,4.7,20,0,21.1,86
2026-08-11T19:00:00Z,bandipora,Bandipora,34.4177,74.6431,95,58.4,73.1,392,489,38.6,57,6.5,33,0,22.5,63
2026-08-11T19:00:00Z,ganderbal,Ganderbal,34.2265,74.7748,95,58.4,73.1,500,502,38.6,57,6.5,33,0,22.9,70
2026-08-11T19:00:00Z,kulgam,Kulgam,33.6444,75.0192,84,34.8,38.3,253,460,17.5,67,2.1,9,0,22,74
2026-08-11T19:00:00Z,kupwara,Kupwara,34.5262,74.2546,77,46.2,61.2,369,544,18.8,73,4.3,35,0,20.6,75
2026-08-11T19:00:00Z,pulwama,Pulwama,33.8716,74.8988,117,80.3,88.7,550,486,54,10,4.7,20,0,20.4,84
2026-08-11T19:00:00Z,shopian,Shopian,33.7167,74.8333,62,24.2,26.4,288,465,12.6,77,2.3,6,0,20.1,75
2026-08-11T19:00:00Z,sopore,Sopore,34.287,74.467,77,46.2,61.2,658,536,18.8,73,4.3,35,0,20.5,85
2026-08-11T19:00:00Z,handwara,Handwara,34.4,74.28,77,46.2,61.2,376,537,18.8,73,4.3,35,0,20.6,76
2026-08-11T19:00:00Z,gulmarg,Gulmarg,34.0484,74.3805,72,41,48.1,295,464,14.3,61,3.3,16,0,16.1,87
2026-08-11T19:00:00Z,pahalgam,Pahalgam,34.0159,75.3151,106,60.3,64.7,411,498,31.9,31,2.7,12,0,18.9,75
2026-08-11T19:00:00Z,sonamarg,Sonamarg,34.305,75.293,62,22.5,28.7,243,466,5.7,70,0.2,16,0,15.1,94
2026-08-11T19:00:00Z,yusmarg,Yusmarg,33.83,74.66,117,80.3,88.7,276,465,54,10,4.7,20,0,18.8,78
2026-08-11T19:00:00Z,tangmarg,Tangmarg,34.045,74.429,72,41,48.1,295,464,14.3,61,3.3,16,0,19.4,83
2026-08-11T19:00:00Z,uri,Uri,34.079,74.05,110,43.8,51.1,406,516,6.1,147,5.1,18,0,22.2,100
2026-08-11T19:00:00Z,awantipora,Awantipora,33.92,75.01,106,60.3,64.7,583,478,31.9,31,2.7,12,0,22.1,82
2026-08-11T19:00:00Z,bijbehara,Bijbehara,33.793,75.105,84,34.8,38.3,777,527,17.5,67,2.1,9,0,21.1,82
2026-08-11T19:00:00Z,qazigund,Qazigund,33.64,75.15,84,34.8,38.3,429,486,17.5,67,2.1,9,0,21.5,87
2026-08-11T19:00:00Z,verinag,Verinag,33.55,75.254,84,34.8,38.3,390,492,17.5,67,2.1,9,0,21.2,83
2026-08-11T19:00:00Z,kokernag,Kokernag,33.59,75.32,84,34.8,38.3,390,492,17.5,67,2.1,9,0,20.7,83
2026-08-11T19:00:00Z,tral,Tral,33.935,75.11,106,60.3,64.7,532,496,31.9,31,2.7,12,0,21.9,73
2026-08-11T19:00:00Z,beerwah,Beerwah,33.995,74.71,117,80.3,88.7,447,482,54,10,4.7,20,0,21.7,72
2026-08-11T19:00:00Z,banihal,Banihal,33.438,75.197,84,34.8,38.3,354,459,17.5,67,2.1,9,0,20.3,99
2026-08-11T19:00:00Z,gurez,Gurez (Dawar),34.63,74.83,57,20.7,32.6,265,471,8.1,88,0.7,32,0,16.5,87
2026-08-11T19:00:00Z,tangdhar,Tangdhar,34.69,74.08,61,28.8,38.4,255,545,10.8,73,1.2,26,0,11.6,91
2026-08-11T20:00:00Z,srinagar,Srinagar,34.0837,74.7973,119,77.3,84.8,1142,543,49.1,8,3.9,16,0,21.9,91
2026-08-11T20:00:00Z,anantnag,Anantnag,33.7311,75.1487,83,28.3,31.2,709,506,14.5,68,2.2,7,0,20.5,95
2026-08-11T20:00:00Z,baramulla,Baramulla,34.198,74.3636,73,38,45.4,418,542,12,71,3.2,15,0,20.9,83
