time,station_id,name,latitude,longitude,aqi,pm25,pm10,co,co2,no2,o3,so2,dust,uv,temp,hum
2026-08-05T19:00:00Z,srinagar,Srinagar,34.0837,74.7973,91,41.9,43.2,1255,484,32.9,31,0.9,3,0,20.7,92
2026-08-05T19:00:00Z,anantnag,Anantnag,33.7311,75.1487,68,6.6,6.8,729,482,12.9,72,1.5,2,0,20,92
2026-08-05T19:00:00Z,baramulla,Baramulla,34.198,74.3636,72,37.6,39.5,366,518,20.8,24,0.4,5,0,18.7,88
2026-08-05T19:00:00Z,budgam,Budgam,33.9299,74.7857,91,41.9,43.2,518,470,32.9,31,0.9,3,0,19.5,86
2026-08-05T19:00:00Z,bandipora,Bandipora,34.4177,74.6431,89,56.8,59.4,294,475,27.8,36,0.1,6,0,19.8,76
2026-08-05T19:00:00Z,ganderbal,Ganderbal,34.2265,74.7748,89,56.8,59.4,530,481,27.8,36,0.1,6,0,19.4,88
2026-08-05T19:00:00Z,kulgam,Kulgam,33.6444,75.0192,68,6.6,6.8,331,461,12.9,72,1.5,2,0,20,75
2026-08-05T19:00:00Z,kupwara,Kupwara,34.5262,74.2546,85,52.4,55.4,221,474,25.3,33,0.1,9,0,18.5,93
2026-08-05T19:00:00Z,pulwama,Pulwama,33.8716,74.8988,91,41.9,43.2,577,466,32.9,31,0.9,3,0,18.4,80
2026-08-05T19:00:00Z,shopian,Shopian,33.7167,74.8333,56,7.8,8.1,303,465,10,80,1.3,1,0,17.4,68
2026-08-05T19:00:00Z,sopore,Sopore,34.287,74.467,85,52.4,55.4,495,491,25.3,33,0.1,9,0,18.7,97
2026-08-05T19:00:00Z,handwara,Handwara,34.4,74.28,85,52.4,55.4,313,511,25.3,33,0.1,9,0,18.8,87
2026-08-05T19:00:00Z,gulmarg,Gulmarg,34.0484,74.3805,72,37.6,39.5,246,459,20.8,24,0.4,5,0,11.9,95
2026-08-05T19:00:00Z,pahalgam,Pahalgam,34.0159,75.3151,68,15.1,15.6,403,505,23.2,11,0.4,1,0,16.2,79
2026-08-05T19:00:00Z,sonamarg,Sonamarg,34.305,75.293,53,13.9,14.7,250,460,6.9,22,0,2,0,12.7,99
2026-08-05T19:00:00Z,yusmarg,Yusmarg,33.83,74.66,91,41.9,43.2,273,465,32.9,31,0.9,3,0,17.1,72
2026-08-05T19:00:00Z,tangmarg,Tangmarg,34.045,74.429,72,37.6,39.5,246,459,20.8,24,0.4,5,0,15.5,89
2026-08-05T19:00:00Z,uri,Uri,34.079,74.05,81,15.3,17.8,354,508,9.9,97,1.9,9,0,20.4,99
2026-08-05T19:00:00Z,awantipora,Awantipora,33.92,75.01,68,15.1,15.6,529,461,23.2,11,0.4,1,0,19.9,92
2026-08-05T19:00:00Z,bijbehara,Bijbehara,33.793,75.105,68,6.6,6.8,654,467,12.9,72,1.5,2,0,20.5,86
2026-08-05T19:00:00Z,qazigund,Qazigund,33.64,75.15,68,6.6,6.8,368,484,12.9,72,1.5,2,0,19.1,93
2026-08-05T19:00:00Z,verinag,Verinag,33.55,75.254,68,6.6,6.8,303,476,12.9,72,1.5,2,0,17.1,92
2026-08-05T19:00:00Z,kokernag,Kokernag,33.59,75.32,68,6.6,6.8,303,476,12.9,72,1.5,2,0,16.7,92
2026-08-05T19:00:00Z,tral,Tral,33.935,75.11,68,15.1,15.6,502,478,23.2,11,0.4,1,0,19.6,75
2026-08-05T19:00:00Z,beerwah,Beerwah,33.995,74.71,91,41.9,43.2,664,460,32.9,31,0.9,3,0,20.6,74
2026-08-05T19:00:00Z,banihal,Banihal,33.438,75.197,68,6.6,6.8,315,479,12.9,72,1.5,2,0,19.2,100
