time,station_id,name,latitude,longitude,aqi,pm25,pm10,co,co2,no2,o3,so2,dust,uv,temp,hum
2026-07-23T19:00:00Z,srinagar,Srinagar,34.0837,74.7973,69,36.9,37.5,838,472,35.5,11,4.6,0,0,17.9,96
2026-07-23T19:00:00Z,anantnag,Anantnag,33.7311,75.1487,54,17.6,17.8,608,476,22.9,25,1.1,0,0,15.7,100
2026-07-23T19:00:00Z,baramulla,Baramulla,34.198,74.3636,54,17.3,17.4,507,512,16.2,35,2.2,0,0,17,91
2026-07-23T19:00:00Z,budgam,Budgam,33.9299,74.7857,69,36.9,37.5,440,465,35.5,11,4.6,0,0,16.8,97
2026-07-23T19:00:00Z,bandipora,Bandipora,34.4177,74.6431,73,38.4,39.6,296,493,30.9,54,6.4,1,0,18.8,85
2026-07-23T19:00:00Z,ganderbal,Ganderbal,34.2265,74.7748,73,38.4,39.6,560,491,30.9,54,6.4,1,0,17.9,95
2026-07-23T19:00:00Z,kulgam,Kulgam,33.6444,75.0192,54,17.6,17.8,257,469,22.9,25,1.1,0,0,16.9,100
2026-07-23T19:00:00Z,kupwara,Kupwara,34.5262,74.2546,80,43.4,44.5,344,518,24.9,56,4.5,2,0,17.8,89
2026-07-23T19:00:00Z,pulwama,Pulwama,33.8716,74.8988,69,36.9,37.5,558,465,35.5,11,4.6,0,0,16.3,98
2026-07-23T19:00:00Z,shopian,Shopian,33.7167,74.8333,27,7.7,7.9,347,477,11.2,38,0.5,0,0,15.3,91
2026-07-23T19:00:00Z,sopore,Sopore,34.287,74.467,80,43.4,44.5,531,489,24.9,56,4.5,2,0,17,97
2026-07-23T19:00:00Z,handwara,Handwara,34.4,74.28,80,43.4,44.5,264,479,24.9,56,4.5,2,0,18.6,81
2026-07-23T19:00:00Z,gulmarg,Gulmarg,34.0484,74.3805,54,17.3,17.4,231,458,16.2,35,2.2,0,0,11.5,97
2026-07-23T19:00:00Z,pahalgam,Pahalgam,34.0159,75.3151,58,25.2,25.4,342,517,26.3,12,2.4,0,0,15.4,92
2026-07-23T19:00:00Z,sonamarg,Sonamarg,34.305,75.293,23,1.4,1.4,162,463,5.1,23,0,0,0,12.6,94
2026-07-23T19:00:00Z,yusmarg,Yusmarg,33.83,74.66,69,36.9,37.5,285,475,35.5,11,4.6,0,0,14.8,88
2026-07-23T19:00:00Z,tangmarg,Tangmarg,34.045,74.429,54,17.3,17.4,231,458,16.2,35,2.2,0,0,14.8,93
2026-07-23T19:00:00Z,uri,Uri,34.079,74.05,52,8.2,8.9,290,535,9.6,67,0.9,2,0,19.2,97
2026-07-23T19:00:00Z,awantipora,Awantipora,33.92,75.01,58,25.2,25.4,572,468,26.3,12,2.4,0,0,17.5,99
2026-07-23T19:00:00Z,bijbehara,Bijbehara,33.793,75.105,54,17.6,17.8,453,465,22.9,25,1.1,0,0,15.8,99
2026-07-23T19:00:00Z,qazigund,Qazigund,33.64,75.15,54,17.6,17.8,454,501,22.9,25,1.1,0,0,16.6,99
2026-07-23T19:00:00Z,verinag,Verinag,33.55,75.254,54,17.6,17.8,421,529,22.9,25,1.1,0,0,17.8,92
2026-07-23T19:00:00Z,kokernag,Kokernag,33.59,75.32,54,17.6,17.8,421,529,22.9,25,1.1,0,0,17.4,92
2026-07-23T19:00:00Z,tral,Tral,33.935,75.11,58,25.2,25.4,500,478,26.3,12,2.4,0,0,17.1,97
2026-07-23T19:00:00Z,beerwah,Beerwah,33.995,74.71,69,36.9,37.5,480,468,35.5,11,4.6,0,0,16.7,91
2026-07-23T19:00:00Z,banihal,Banihal,33.438,75.197,54,17.6,17.8,202,479,22.9,25,1.1,0,0,18.6,93
2026-07-23T19:00:00Z,gurez,Gurez (Dawar),34.63,74.83,44,13.6,14.5,171,466,7.9,69,0.5,3,0,15.3,92
2026-07-23T19:00:00Z,tangdhar,Tangdhar,34.69,74.08,48,8.4,9.5,178,511,11.6,39,0.6,3,0,11,80
2026-07-23T20:00:00Z,srinagar,Srinagar,34.0837,74.7973,70,31.2,31.8,510,459,33.6,12,3.9,1,0,17.8,96
2026-07-23T20:00:00Z,anantnag,Anantnag,33.7311,75.1487,54,11,11.1,507,472,17.7,28,1.1,0,0,15.6,100
2026-07-23T20:00:00Z,baramulla,Baramulla,34.198,74.3636,55,14,14.2,514,502,12.4,44,1.9,0,0,17.4,92
2026-07-23T20:00:00Z,budgam,Budgam,33.9299,74.7857,70,31.2,31.8,454,464,33.6,12,3.9,1,0,16.4,98
