time,station_id,name,latitude,longitude,aqi,pm25,pm10,co,co2,no2,o3,so2,dust,uv,temp,hum
2026-06-13T19:00:00Z,srinagar,Srinagar,34.0837,74.7973,73,43.7,45.2,921,480,35.5,22,0,3,0,,
2026-06-13T19:00:00Z,anantnag,Anantnag,33.7311,75.1487,67,26.4,28,735,494,25,17,0,4,0,,
2026-06-13T19:00:00Z,baramulla,Baramulla,34.198,74.3636,58,24.2,26,343,505,15.8,40,0,4,0,,
2026-06-13T19:00:00Z,budgam,Budgam,33.9299,74.7857,73,43.7,45.2,379,463,35.5,22,0,3,0,,
2026-06-13T19:00:00Z,bandipora,Bandipora,34.4177,74.6431,54,24.8,26,249,487,19.7,42,0,3,0,,
2026-06-13T19:00:00Z,ganderbal,Ganderbal,34.2265,74.7748,54,24.8,26,516,496,19.7,42,0,3,0,,
2026-06-13T19:00:00Z,kulgam,Kulgam,33.6444,75.0192,67,26.4,28,267,469,25,17,0,4,0,,
2026-06-13T19:00:00Z,kupwara,Kupwara,34.5262,74.2546,63,31.3,34.3,268,516,19.5,61,0,8,0,,
2026-06-13T19:00:00Z,pulwama,Pulwama,33.8716,74.8988,73,43.7,45.2,499,465,35.5,22,0,3,0,,
2026-06-13T19:00:00Z,shopian,Shopian,33.7167,74.8333,55,20,20.5,341,468,19.5,29,0,2,0,,
2026-06-13T19:00:00Z,sopore,Sopore,34.287,74.467,63,31.3,34.3,394,491,19.5,61,0,8,0,,
2026-06-13T19:00:00Z,handwara,Handwara,34.4,74.28,63,31.3,34.3,322,524,19.5,61,0,8,0,,
2026-06-13T19:00:00Z,gulmarg,Gulmarg,34.0484,74.3805,58,24.2,26,213,459,15.8,40,0,4,0,,
2026-06-13T19:00:00Z,pahalgam,Pahalgam,34.0159,75.3151,59,27.9,29.5,307,484,20.1,26,0,4,0,,
2026-06-13T19:00:00Z,sonamarg,Sonamarg,34.305,75.293,42,2.7,2.9,186,447,2.9,55,0,1,0,,
2026-06-13T19:00:00Z,yusmarg,Yusmarg,33.83,74.66,73,43.7,45.2,282,472,35.5,22,0,3,0,,
2026-06-13T19:00:00Z,tangmarg,Tangmarg,34.045,74.429,58,24.2,26,213,459,15.8,40,0,4,0,,
2026-06-13T19:00:00Z,uri,Uri,34.079,74.05,60,18.4,20.7,228,501,11.3,73,0,8,0,,
2026-06-13T19:00:00Z,awantipora,Awantipora,33.92,75.01,59,27.9,29.5,521,462,20.1,26,0,4,0,,
2026-06-13T19:00:00Z,bijbehara,Bijbehara,33.793,75.105,67,26.4,28,625,483,25,17,0,4,0,,
2026-06-13T19:00:00Z,qazigund,Qazigund,33.64,75.15,67,26.4,28,361,480,25,17,0,4,0,,
2026-06-13T19:00:00Z,verinag,Verinag,33.55,75.254,67,26.4,28,273,491,25,17,0,4,0,,
2026-06-13T19:00:00Z,kokernag,Kokernag,33.59,75.32,67,26.4,28,273,491,25,17,0,4,0,,
2026-06-13T19:00:00Z,tral,Tral,33.935,75.11,59,27.9,29.5,371,467,20.1,26,0,4,0,,
2026-06-13T19:00:00Z,beerwah,Beerwah,33.995,74.71,73,43.7,45.2,432,464,35.5,22,0,3,0,,
2026-06-13T19:00:00Z,banihal,Banihal,33.438,75.197,67,26.4,28,276,464,25,17,0,4,0,,
2026-06-13T19:00:00Z,gurez,Gurez (Dawar),34.63,74.83,60,2.1,3.3,157,460,5.3,85,0,3,0,,
2026-06-13T19:00:00Z,tangdhar,Tangdhar,34.69,74.08,62,3.9,5.5,182,489,9.7,91,0,4,0,,
2026-06-13T20:00:00Z,srinagar,Srinagar,34.0837,74.7973,73,39.8,40.9,820,492,30.4,20,0,2,0,,
2026-06-13T20:00:00Z,anantnag,Anantnag,33.7311,75.1487,65,25.2,26.7,592,492,21.9,20,0,3,0,,
2026-06-13T20:00:00Z,baramulla,Baramulla,34.198,74.3636,59,20,22,308,506,14.5,32,0,4,0,,
2026-06-13T20:00:00Z,budgam,Budgam,33.9299,74.7857,73,39.8,40.9,342,469,30.4,20,0,2,0,,
2026-06-13T20:00:00Z,bandipora,Bandipora,34.4177,74.6431,54,22.1,23.3,219,486,15.4,42,0,2,0,,
2026-06-13T20:00:00Z,ganderbal,Ganderbal,34.2265,74.7748,54,22.1,23.3,365,498,15.4,42,0,2,0,,
2026-06-13T20:00:00Z,kulgam,Kulgam,33.6444,75.0192,65,25.2,26.7,228,470,21.9,20,0,3,0,,
2026-06-13T20:00:00Z,kupwara,Kupwara,34.5262,74.2546,64,22.4,25.5,238,518,14.6,63,0,7,0,,
2026-06-13T20:00:00Z,pulwama,Pulwama,33.8716,74.8988,73,39.8,40.9,459,471,30.4,20,0,2,0,,
2026-06-13T20:00:00Z,shopian,Shopian,33.7167,74.8333,55,20,20.5,272,464,17.9,28,0,1,0,,
2026-06-13T20:00:00Z,sopore,Sopore,34.287,74.467,64,22.4,25.5,383,501,14.6,63,0,7,0,,
2026-06-13T20:00:00Z,handwara,Handwara,34.4,74.28,64,22.4,25.5,263,521,14.6,63,0,7,0,,
2026-06-13T20:00:00Z,gulmarg,Gulmarg,34.0484,74.3805,59,20,22,188,458,14.5,32,0,4,0,,
2026-06-13T20:00:00Z,pahalgam,Pahalgam,34.0159,75.3151,59,21.7,23.1,233,474,15.5,32,0,3,0,,
2026-06-13T20:00:00Z,sonamarg,Sonamarg,34.305,75.293,38,1.2,1.6,166,446,2.1,58,0,1,0,,
2026-06-13T20:00:00Z,yusmarg,Yusmarg,33.83,74.66,73,39.8,40.9,251,469,30.4,20,0,2,0,,
2026-06-13T20:00:00Z,tangmarg,Tangmarg,34.045,74.429,59,20,22,188,458,14.5,32,0,4,0,,
2026-06-13T20:00:00Z,uri,Uri,34.079,74.05,60,17.4,19.1,220,512,9.7,74,0,7,0,,
2026-06-13T20:00:00Z,awantipora,Awantipora,33.92,75.01,59,21.7,23.1,505,466,15.5,32,0,3,0,,
2026-06-13T20:00:00Z,bijbehara,Bijbehara,33.793,75.105,65,25.2,26.7,589,485,21.9,20,0,3,0,,
